pair,n,eg_resid_adf_t,eg_pass_5pct,approx_p,bh_fdr_survive,half_life_is
ICICIBANK.NS/UPL.NS,4288,-2.590,false,0.2435,false,136.3
ICICIBANK.NS/ADANIPORTS.NS,4288,-3.931,true,0.0097,false,64.3
ICICIBANK.NS/ADANIENT.NS,4288,-2.427,false,0.3261,false,194.3
ICICIBANK.NS/DRREDDY.NS,4288,-2.564,false,0.2530,false,166.8
ICICIBANK.NS/BAJAJFINSV.NS,4288,-3.356,true,0.0484,false,98.0
ICICIBANK.NS/BRITANNIA.NS,4288,-2.894,false,0.1467,false,118.7
ICICIBANK.NS/COALINDIA.NS,3834,-0.749,false,0.9048,false,790.7
ICICIBANK.NS/SBILIFE.NS,2134,-3.670,true,0.0215,false,41.5
ICICIBANK.NS/HDFCLIFE.NS,2102,-1.157,false,0.8234,false,232.0
ICICIBANK.NS/APOLLOHOSP.NS,4288,-2.747,false,0.1936,false,117.0
HINDUNILVR.NS/ITC.NS,4288,-1.009,false,0.8552,false,543.9
HINDUNILVR.NS/SBIN.NS,4288,-1.724,false,0.6568,false,397.8
HINDUNILVR.NS/BAJFINANCE.NS,4288,-3.489,true,0.0356,false,122.0
HINDUNILVR.NS/BAJAJ-AUTO.NS,4288,-3.646,true,0.0227,false,198.1
HINDUNILVR.NS/BHARTIARTL.NS,4288,-2.379,false,0.3519,false,170.7
HINDUNILVR.NS/WIPRO.NS,4288,-2.578,false,0.2475,false,208.4
HINDUNILVR.NS/MARUTI.NS,4288,-1.763,false,0.6403,false,326.9
HINDUNILVR.NS/HCLTECH.NS,4288,-3.055,false,0.0974,false,199.8
HINDUNILVR.NS/TATASTEEL.NS,4288,-0.724,false,0.9071,false,1637.5
HINDUNILVR.NS/KOTAKBANK.NS,4288,-4.164,true,0.0078,false,82.3
HINDUNILVR.NS/AXISBANK.NS,4288,-2.514,false,0.2795,false,203.7
HINDUNILVR.NS/ULTRACEMCO.NS,4288,-3.396,true,0.0446,false,128.0
HINDUNILVR.NS/SUNPHARMA.NS,4288,-0.552,false,0.9233,false,1792.9
HINDUNILVR.NS/ASIANPAINT.NS,4288,-3.254,false,0.0644,false,126.1
HINDUNILVR.NS/NESTLEIND.NS,4288,-3.182,false,0.0763,false,176.5
HINDUNILVR.NS/POWERGRID.NS,4288,-2.734,false,0.1976,false,112.4
HINDUNILVR.NS/NTPC.NS,4288,-0.689,false,0.9104,false,2039.7
HINDUNILVR.NS/ONGC.NS,4288,-1.162,false,0.8225,false,1306.4
HINDUNILVR.NS/DIVISLAB.NS,4287,-2.548,false,0.2618,false,151.6
HINDUNILVR.NS/CIPLA.NS,4288,-2.409,false,0.3356,false,193.4
HINDUNILVR.NS/EICHERMOT.NS,4288,-1.295,false,0.7939,false,539.9
HINDUNILVR.NS/GRASIM.NS,4288,-2.372,false,0.3555,false,202.7
HINDUNILVR.NS/HEROMOTOCO.NS,4288,-2.649,false,0.2248,false,187.4
HINDUNILVR.NS/HINDALCO.NS,4288,-1.085,false,0.8389,false,850.5
HINDUNILVR.NS/INDUSINDBK.NS,4288,-1.431,false,0.7649,false,635.0
HINDUNILVR.NS/JSWSTEEL.NS,4288,-1.908,false,0.5798,false,317.1
HINDUNILVR.NS/LT.NS,4288,-2.333,false,0.3761,false,240.5
HINDUNILVR.NS/M&M.NS,4288,-2.540,false,0.2658,false,259.2
HINDUNILVR.NS/TECHM.NS,4288,-2.621,false,0.2336,false,185.5
HINDUNILVR.NS/TITAN.NS,4288,-2.888,false,0.1486,false,143.4
HINDUNILVR.NS/UPL.NS,4288,-1.891,false,0.5873,false,285.8
HINDUNILVR.NS/ADANIPORTS.NS,4288,-2.620,false,0.2339,false,133.1
HINDUNILVR.NS/ADANIENT.NS,4288,-1.154,false,0.8242,false,912.4
HINDUNILVR.NS/DRREDDY.NS,4288,-1.822,false,0.6160,false,406.6
HINDUNILVR.NS/BAJAJFINSV.NS,4288,-2.807,false,0.1744,false,141.1
HINDUNILVR.NS/BRITANNIA.NS,4288,-2.288,false,0.3997,false,190.2
HINDUNILVR.NS/COALINDIA.NS,3834,-1.088,false,0.8383,false,1000.6
HINDUNILVR.NS/SBILIFE.NS,2134,-3.662,true,0.0219,false,54.8
HINDUNILVR.NS/HDFCLIFE.NS,2102,-2.478,false,0.2991,false,97.8
HINDUNILVR.NS/APOLLOHOSP.NS,4288,-2.220,false,0.4361,false,217.9
ITC.NS/SBIN.NS,4288,-2.300,false,0.3937,false,248.4
ITC.NS/BAJFINANCE.NS,4288,-1.874,false,0.5942,false,288.3
ITC.NS/BAJAJ-AUTO.NS,4288,-3.282,false,0.0596,false,108.9
ITC.NS/BHARTIARTL.NS,4288,-2.682,false,0.2143,false,324.5
ITC.NS/WIPRO.NS,4288,-1.514,false,0.7441,false,337.9
ITC.NS/MARUTI.NS,4288,-1.975,false,0.5519,false,319.2
ITC.NS/HCLTECH.NS,4288,-2.081,false,0.5081,false,204.3
ITC.NS/TATASTEEL.NS,4288,-2.018,false,0.5341,false,502.7
ITC.NS/KOTAKBANK.NS,4288,-1.987,false,0.5469,false,266.2
ITC.NS/AXISBANK.NS,4288,-2.327,false,0.3794,false,195.1
ITC.NS/ULTRACEMCO.NS,4288,-1.942,false,0.5659,false,167.6
ITC.NS/SUNPHARMA.NS,4288,-2.472,false,0.3022,false,181.7
ITC.NS/ASIANPAINT.NS,4288,-1.998,false,0.5427,false,234.2
ITC.NS/NESTLEIND.NS,4288,-3.256,false,0.0639,false,277.3
ITC.NS/POWERGRID.NS,4288,-2.170,false,0.4625,false,259.5
