symbol,ann_date,bucket,reaction_date,earcc,gap,intra,continuation_next
WAAREEENER.NS,2026-01-29,after-close,2026-01-30,0.01081,-0.00782,0.02219,0.01414
DIXON.NS,2026-01-29,after-close,2026-01-30,0.00717,-0.02293,0.03426,0.00118
ACC.NS,2026-01-29,after-close,2026-01-30,-0.02816,-0.00447,-0.02041,0.01087
SWIGGY.NS,2026-01-29,after-close,2026-01-30,-0.05801,-0.05692,0.00243,0.00060
COCHINSHIP.NS,2026-01-28,after-close,2026-01-29,-0.00651,0.00376,-0.01154,0.02749
SBICARD.NS,2026-01-28,after-close,2026-01-29,-0.01536,-0.00313,-0.01359,-0.02392
SBICARD.NS,2026-01-28,after-close,2026-01-29,-0.01536,-0.00313,-0.01359,-0.02392
LUPIN.NS,2026-01-28,after-close,2026-01-29,0.00254,-0.00202,0.00325,0.00633
ACC.NS,2026-01-28,intraday,2026-01-28,-0.01809,0.00006,-0.00219,-0.00213
VMM.NS,2026-01-27,after-close,2026-01-28,-0.05723,0.00496,-0.04600,0.01767
VMM.NS,2026-01-27,after-close,2026-01-28,-0.05723,0.00496,-0.04600,0.01767
INDUSINDBK.NS,2026-01-23,after-close,2026-01-27,-0.00032,-0.01955,0.02257,-0.00819
INDUSINDBK.NS,2026-01-23,after-close,2026-01-27,-0.00032,-0.01955,0.02257,-0.00819
OFSS.NS,2026-01-23,after-close,2026-01-27,0.00338,0.00289,0.00338,-0.01515
YESBANK.NS,2026-01-22,after-close,2026-01-23,-0.01619,0.00462,-0.03728,0.00188
PREMIERENE.NS,2026-01-22,after-close,2026-01-23,-0.05994,-0.01994,-0.05779,0.03297
ATGL.NS,2026-01-22,after-close,2026-01-23,-0.03911,0.00484,-0.06029,0.01227
ATGL.NS,2026-01-22,after-close,2026-01-23,-0.03911,0.00484,-0.06029,0.01227
WAAREEENER.NS,2026-01-21,after-close,2026-01-22,0.08158,0.06036,0.02990,0.00059
OFSS.NS,2026-01-21,after-close,2026-01-22,0.01864,0.02235,0.00663,0.02411
OFSS.NS,2026-01-21,after-close,2026-01-22,0.01864,0.02235,0.00663,0.02411
WAAREEENER.NS,2026-01-21,after-close,2026-01-22,0.08158,0.06036,0.02990,0.00059
HINDPETRO.NS,2026-01-21,after-close,2026-01-22,-0.01363,0.00152,-0.00465,-0.01341
HINDPETRO.NS,2026-01-21,after-close,2026-01-22,-0.01363,0.00152,-0.00465,-0.01341
HINDPETRO.NS,2026-01-21,after-close,2026-01-22,-0.01363,0.00152,-0.00465,-0.01341
BANKINDIA.NS,2026-01-21,after-close,2026-01-22,0.04628,0.02235,0.03366,-0.02404
BANKINDIA.NS,2026-01-21,after-close,2026-01-22,0.04628,0.02235,0.03366,-0.02404
BANKINDIA.NS,2026-01-21,after-close,2026-01-22,0.04628,0.02235,0.03366,-0.02404
ICICIAMC.NS,2026-01-21,intraday,2026-01-21,0.01979,-0.00633,0.01185,-0.03166
AUBANK.NS,2026-01-20,after-close,2026-01-21,0.00269,0.00774,-0.01397,-0.00481
AUBANK.NS,2026-01-20,after-close,2026-01-21,0.00269,0.00774,-0.01397,-0.00481
AUBANK.NS,2026-01-20,after-close,2026-01-21,0.00269,0.00774,-0.01397,-0.00481
AUBANK.NS,2026-01-20,after-close,2026-01-21,0.00269,0.00774,-0.01397,-0.00481
ITCHOTELS.NS,2026-01-20,intraday,2026-01-20,-0.00610,0.00750,-0.03782,0.05208
BHEL.NS,2026-01-19,intraday,2026-01-19,-0.00233,0.00000,-0.00867,-0.02472
YESBANK.NS,2026-01-17,weekend,2026-01-19,-0.02350,0.02259,-0.05127,-0.02207
YESBANK.NS,2026-01-17,weekend,2026-01-19,-0.02350,0.02259,-0.05127,-0.02207
YESBANK.NS,2026-01-17,weekend,2026-01-19,-0.02350,0.02259,-0.05127,-0.02207
LTF.NS,2026-01-16,after-close,2026-01-19,0.01865,-0.04015,0.05466,0.00367
JSWINFRA.NS,2026-01-16,after-close,2026-01-19,0.06474,0.02833,0.02925,0.00672
LTTS.NS,2026-01-16,after-close,2026-01-19,-0.00569,-0.00003,-0.01200,0.01311
PAYTM.NS,2026-01-16,after-close,2026-01-19,-0.00193,-0.00477,-0.00352,-0.00148
POLYCAB.NS,2026-01-16,after-close,2026-01-19,0.04797,0.00857,0.03279,-0.02180
POLYCAB.NS,2026-01-16,after-close,2026-01-19,0.04797,0.00857,0.03279,-0.02180
POLYCAB.NS,2026-01-16,after-close,2026-01-19,0.04797,0.00857,0.03279,-0.02180
POLYCAB.NS,2026-01-16,after-close,2026-01-19,0.04797,0.00857,0.03279,-0.02180
POLYCAB.NS,2026-01-16,intraday,2026-01-16,-0.02639,-0.00307,-0.02459,0.04797
LTTS.NS,2026-01-16,intraday,2026-01-16,-0.07579,-0.01786,-0.06020,-0.00569
FEDERALBNK.NS,2026-01-16,intraday,2026-01-16,0.09599,0.00263,0.09192,0.04130
FEDERALBNK.NS,2026-01-16,intraday,2026-01-16,0.09599,0.00263,0.09192,0.04130
LTTS.NS,2026-01-15,after-close,2026-01-16,-0.07579,-0.01786,-0.06020,-0.00569
ICICIAMC.NS,2026-01-14,after-close,2026-01-15,0.00000,0.00000,0.00000,0.07411
BAJAJHFL.NS,2026-01-14,after-close,2026-01-15,0.00000,0.00000,0.00000,-0.01057
HDBFS.NS,2026-01-14,after-close,2026-01-15,0.00000,0.00000,0.00000,0.00355
GROWW.NS,2026-01-14,intraday,2026-01-14,0.00947,0.00498,0.00514,0.00000
ICICIGI.NS,2026-01-13,after-close,2026-01-14,-0.01542,-0.00239,-0.01239,0.00000
IREDA.NS,2026-01-09,after-close,2026-01-12,0.03731,0.02474,0.01079,-0.01167
HUDCO.NS,2026-01-06,intraday,2026-01-06,-0.00536,0.00168,-0.00825,0.00478
BANKINDIA.NS,2026-01-02,after-close,2026-01-05,0.00525,0.01126,-0.00669,0.00636
GROWW.NS,2025-12-12,intraday,2025-12-12,-0.01335,0.00378,-0.00596,0.00528
LGEINDIA.NS,2025-12-04,after-close,2025-12-05,-0.00598,0.00149,-0.00578,-0.00349
PETRONET.NS,2025-12-02,after-close,2025-12-03,-0.00079,-0.00184,-0.00684,0.04686
LENSKART.NS,2025-11-29,weekend,2025-12-01,0.05044,0.04276,0.00584,-0.00746
GROWW.NS,2025-11-21,intraday,2025-11-21,0.01914,-0.00440,0.01167,-0.03577
OIL.NS,2025-11-17,after-close,2025-11-18,-0.00111,0.00298,-0.00960,0.00626
OIL.NS,2025-11-14,after-close,2025-11-17,-0.00829,0.00023,-0.00160,-0.00111
GLENMARK.NS,2025-11-14,after-close,2025-11-17,-0.02100,-0.02137,0.00744,-0.00843
OIL.NS,2025-11-14,after-close,2025-11-17,-0.00829,0.00023,-0.00160,-0.00111
HEROMOTOCO.NS,2025-11-14,intraday,2025-11-14,0.00594,0.00236,0.00308,0.04003
GMRAIRPORT.NS,2025-11-14,intraday,2025-11-14,0.00238,0.02262,-0.02028,0.01409
GMRAIRPORT.NS,2025-11-13,after-close,2025-11-14,0.00238,0.02262,-0.02028,0.01409
GMRAIRPORT.NS,2025-11-13,after-close,2025-11-14,0.00238,0.02262,-0.02028,0.01409
HEROMOTOCO.NS,2025-11-13,after-close,2025-11-14,0.00594,0.00236,0.00308,0.04003
LGEINDIA.NS,2025-11-13,after-close,2025-11-14,-0.03262,-0.04973,0.01748,-0.00370
LLOYDSME.NS,2025-11-13,after-close,2025-11-14,0.01308,0.00000,0.01259,-0.02875
VMM.NS,2025-11-13,after-close,2025-11-14,-0.00834,0.01259,-0.02116,-0.00940
