side,symbol,deal_date,band,deal_value_inr,adv_ratio,pre_car,day0_ar,post_car_h5
BUY,ADVANCE.NS,2026-03-27,broad,69799050,2.43,-0.02410,-0.01705,0.1166652825564567
BUY,SIGACHI.NS,2025-09-15,broad,2108298045,25.79,0.32013,0.02488,-0.0368328705590939
BUY,IEX.NS,2026-01-07,smallcap,1289708756,2.24,0.10715,0.04044,-0.055972554136752395
BUY,BLUESTONE.NS,2025-10-08,micro,695183703,2.74,0.06704,0.13459,-0.034149166450236024
BUY,IDEAFORGE.NS,2026-04-29,broad,252414103,0.86,0.19353,0.05386,0.28676212484799635
BUY,AEROFLEX.NS,2025-12-19,broad,595594480,10.81,0.02614,0.08654,0.003601152275976016
BUY,RECLTD.NS,2025-09-09,broad,697840623,0.53,0.01636,-0.00629,0.02195680207760109
BUY,EXCELSOFT.NS,2025-12-30,broad,823350961,0.96,-0.05475,0.08974,-0.057351310622194895
BUY,HFCL.NS,2025-09-18,smallcap,711035583,0.91,0.04011,0.03380,-0.012882349919042801
BUY,SUNDARMFIN.NS,2025-10-07,midcap,409693879,1.75,-0.02317,-0.01685,0.02127624066949574
BUY,GATEWAY.NS,2026-03-25,broad,142002978,3.09,0.00806,0.05711,0.0063055483082088415
BUY,TEJASNET.NS,2025-04-28,smallcap,937810838,0.58,-0.00071,-0.13450,-0.03958530174159902
BUY,CRAFTSMAN.NS,2026-04-15,smallcap,2298780400,10.06,0.03588,-0.02080,0.008683728922117773
BUY,VIDHIING.NS,2026-03-06,broad,102552396,40.12,0.02975,0.05708,-0.019893929290259016
BUY,KESORAMIND.NS,2026-01-12,broad,29850000,1.72,-0.12351,-0.04909,0.23017125054174548
BUY,AWHCL.NS,2025-12-19,broad,727109487,32.91,0.17995,-0.00205,-0.01572185630561196
BUY,STYLEBAAZA.NS,2026-01-19,broad,1557424300,25.50,0.19311,0.14280,-0.005402350734432071
BUY,NIVABUPA.NS,2025-06-02,smallcap,1835117625,4.40,0.01362,-0.10286,-0.030776889373077543
BUY,ATULAUTO.NS,2025-11-11,broad,96089748,2.57,-0.07493,0.08940,-0.043465777216747825
BUY,EIEL.NS,2026-04-16,micro,225559522,1.08,0.17727,0.00375,-0.029699744617949553
BUY,FEDFINA.NS,2026-05-12,micro,7708541700,52.55,0.02414,0.01259,0.00787257213276904
BUY,SPARC.NS,2025-12-04,micro,1071993826,34.64,0.16381,0.00870,-0.10504846711480853
BUY,HEG.NS,2025-03-26,smallcap,1044892215,4.15,0.10388,0.04645,-0.002275561580493357
BUY,ORIENTCEM.NS,2025-03-21,micro,821639140,3.34,-0.04053,-0.05125,0.023983556219454583
BUY,MOBIKWIK.NS,2026-02-03,broad,99093749,0.76,0.00170,0.16799,-0.06162909868738986
BUY,HAPPSTMNDS.NS,2024-12-30,micro,839771722,5.03,-0.00995,0.07861,-0.01846804440032601
BUY,RALLIS.NS,2025-07-15,micro,751691328,5.56,0.11622,-0.01612,0.024077526028778995
BUY,BLACKBUCK.NS,2025-08-07,micro,530987794,2.32,0.23624,-0.07705,0.08973775894804037
BUY,CARTRADE.NS,2025-02-28,smallcap,428243265,0.77,-0.03586,0.08096,-0.016793674815475113
BUY,PROSTARM.NS,2025-12-02,broad,3445983893,72.96,0.16362,0.09551,-0.06763502895797158
BUY,QUADFUTURE.NS,2025-09-02,broad,134820976,1.58,0.06092,0.08772,-0.05534672443323696
BUY,MTNL.NS,2025-06-12,broad,218755274,0.52,-0.00961,0.03939,-0.10072274090332156
BUY,CHOLAFIN.NS,2025-09-05,broad,939065020,0.65,0.00582,0.02006,0.003913037449731371
BUY,EIEL.NS,2025-06-24,micro,2166799108,5.15,-0.01582,0.11009,-0.03953140784725151
BUY,MEDPLUS.NS,2025-11-03,micro,563816331,9.32,0.00137,0.06490,-0.013417273361883253
BUY,KIMS.NS,2025-09-05,smallcap,180948167,0.79,-0.02122,0.00374,0.00491633729619223
BUY,AEGISVOPAK.NS,2025-10-16,smallcap,141798143,0.75,0.06302,0.02321,-0.0034244168632582284
BUY,KMEW.NS,2025-09-15,broad,166926635,3.57,0.22080,0.06350,0.07146847887027052
BUY,INDOFARM.NS,2025-08-21,broad,159041278,3.95,0.08027,0.02103,0.0554386228905519
BUY,DCXINDIA.NS,2026-03-06,broad,2739123312,20.15,0.04629,0.08717,-0.11674271334655095
BUY,EASEMYTRIP.NS,2025-05-15,broad,300560933,0.96,-0.00894,-0.03977,-0.06800371774387193
BUY,GODREJPROP.NS,2025-08-29,midcap,1047104729,0.71,0.00020,-0.01405,0.00025078528241562204
BUY,MAMATA.NS,2025-09-19,broad,559921258,5.09,0.01977,0.04530,-0.04019261923997475
BUY,GARUDA.NS,2025-07-22,broad,169650432,0.96,0.22525,0.00468,0.04160835441587929
