FREQ,REF_AREA,COMP_METHOD,UNIT_MEASURE,CURRENCY,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
Q,IN,B,XDC,INR,B,1993-Q3,1599.71
Q,IN,B,XDC,INR,B,1993-Q4,1650.34
Q,IN,B,XDC,INR,B,1994-Q1,1808.86
Q,IN,B,XDC,INR,B,1994-Q2,1844.1
Q,IN,B,XDC,INR,B,1994-Q3,1757.24
Q,IN,B,XDC,INR,B,1994-Q4,1897.38
Q,IN,B,XDC,INR,B,1995-Q1,2054.6
Q,IN,B,XDC,INR,B,1995-Q2,2181.6
Q,IN,B,XDC,INR,B,1995-Q3,2028.07
Q,IN,B,XDC,INR,B,1995-Q4,2175.28
Q,IN,B,XDC,INR,B,1996-Q1,2175.88
Q,IN,B,XDC,INR,B,1996-Q2,2345.32
Q,IN,B,XDC,INR,B,1996-Q3,2213.49
Q,IN,B,XDC,INR,B,1996-Q4,2278.39
Q,IN,B,XDC,INR,B,1997-Q1,2310.19
Q,IN,B,XDC,INR,B,1997-Q2,2434.39
Q,IN,B,XDC,INR,B,1997-Q3,2372.47
Q,IN,B,XDC,INR,B,1997-Q4,2507.21
Q,IN,B,XDC,INR,B,1998-Q1,2622.98
Q,IN,B,XDC,INR,B,1998-Q2,2871.1
Q,IN,B,XDC,INR,B,1998-Q3,2807.73
Q,IN,B,XDC,INR,B,1998-Q4,3039.76
Q,IN,B,XDC,INR,B,1999-Q1,3065.44
Q,IN,B,XDC,INR,B,1999-Q2,3322.54
Q,IN,B,XDC,INR,B,1999-Q3,3199.98
Q,IN,B,XDC,INR,B,1999-Q4,3319.66
Q,IN,B,XDC,INR,B,2000-Q1,3531.89
Q,IN,B,XDC,INR,B,2000-Q2,3622.8
Q,IN,B,XDC,INR,B,2000-Q3,3548.8
Q,IN,B,XDC,INR,B,2000-Q4,3664.86
Q,IN,B,XDC,INR,B,2001-Q1,3849.65
Q,IN,B,XDC,INR,B,2001-Q2,4027.4
Q,IN,B,XDC,INR,B,2001-Q3,3984.78
Q,IN,B,XDC,INR,B,2001-Q4,4097.47
Q,IN,B,XDC,INR,B,2002-Q1,4374.24
Q,IN,B,XDC,INR,B,2002-Q2,4506.3
Q,IN,B,XDC,INR,B,2002-Q3,4478.55
Q,IN,B,XDC,INR,B,2002-Q4,4627.8
Q,IN,B,XDC,INR,B,2003-Q1,4946.33
Q,IN,B,XDC,INR,B,2003-Q2,5148.18
