"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"18-MAY-2026","GESHIP","The Great Eastern Shippin","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","9,10,927","1,687.46","-"
"18-MAY-2026","GESHIP","The Great Eastern Shippin","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","9,10,927","1,688.11","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","2,69,644","642.48","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","2,69,644","642.21","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","3,61,960","644.23","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","SELL","3,63,060","645.66","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","5,83,056","644.02","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","5,89,864","642.35","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","HRTI PRIVATE LIMITED","BUY","7,89,273","654.32","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","HRTI PRIVATE LIMITED","SELL","7,95,914","643.05","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","IRAGE BROKING SERVICES LLP","SELL","5,31,759","650.41","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","IRAGE BROKING SERVICES LLP","BUY","6,28,859","653.61","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","2,18,353","653.29","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","2,18,353","655.24","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","8,12,036","644.83","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","8,17,717","644.83","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","MICROCURVES TRADING PRIVATE LIMITED","SELL","16,07,296","652.77","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","MICROCURVES TRADING PRIVATE LIMITED","BUY","16,07,296","652.51","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","10,82,011","649.16","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","10,82,011","648.88","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","PUMA SECURITIES","SELL","2,04,098","655.04","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","PUMA SECURITIES","BUY","2,04,098","654.74","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","QE SECURITIES LLP","SELL","8,81,433","640.28","-"
"18-MAY-2026","JINDRILL","Jindal Drilling And Indus","QE SECURITIES LLP","BUY","10,61,217","651.29","-"
"18-MAY-2026","JSWSTEEL","JSW Steel Limited","JSW ENERGY LIMITED","SELL","2,50,00,000","1,260.00","-"
"18-MAY-2026","MTARTECH","MTAR Technologies Limited","HRTI PRIVATE LIMITED","SELL","1,44,045","6,991.79","-"
"18-MAY-2026","MTARTECH","MTAR Technologies Limited","HRTI PRIVATE LIMITED","BUY","1,56,246","7,000.33","-"
"18-MAY-2026","PNGSREVA","PNGS Reva Diamond Jewel L","GADGIL GOVIND VISHWANATH","BUY","1,60,000","365.78","-"
"18-MAY-2026","RSL","Rajputana Stainless Ltd","L7 HITECH PRIVATE LIMITED","BUY","5,395","134.96","-"
"18-MAY-2026","RSL","Rajputana Stainless Ltd","L7 HITECH PRIVATE LIMITED","SELL","4,88,959","133.00","-"
"18-MAY-2026","SAIFL","Sameera Agro And Infra L","PRADIP ANANT PALSHETKAR","SELL","4,80,000","6.44","-"
"18-MAY-2026","SILGO","Silgo Retail Limited","GOLDENDUNES BUILDERS AND DEVELOPERS PRIVATE LIMITED","SELL","2,80,000","74.71","-"
"18-MAY-2026","SILGO","Silgo Retail Limited","JAYANTILAL CHHAGANLAL SHAH","BUY","2,08,561","74.49","-"
"18-MAY-2026","SOFTTECH","Softtech Engineers Ltd","EAST INDIA UDYOG LTD","SELL","99,997","395.00","-"
"18-MAY-2026","SOFTTECH","Softtech Engineers Ltd","SNEHAL BHUPENDRA SHAH","BUY","1,01,000","394.98","-"
"18-MAY-2026","WHEELS","Wheels India Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","1,29,434","1,596.51","-"
"18-MAY-2026","WHEELS","Wheels India Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","1,29,434","1,597.04","-"
"18-MAY-2026","WINNY","Winny Immigra & Edu Ser L","GAYATRIBEN NISHANT SHAH","SELL","15,000","45.95","-"
"18-MAY-2026","WINNY","Winny Immigra & Edu Ser L","SHAH  NISHANT","BUY","15,000","45.95","-"
"19-MAY-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","12,80,967","384.17","-"
"19-MAY-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","13,05,100","384.14","-"
"19-MAY-2026","AGIIL","Agi Infra Limited","ARTHKUMBH VENTURES LLP","BUY","1,40,000","389.25","-"
"19-MAY-2026","AGIIL","Agi Infra Limited","ARTHKUMBH VENTURES LLP","SELL","6,75,000","384.08","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","HRTI PRIVATE LIMITED","SELL","27,62,152","339.04","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","HRTI PRIVATE LIMITED","BUY","34,19,746","340.47","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","32,11,691","338.62","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","32,11,691","338.40","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","42,26,250","339.70","-"
